error_mean error_std nr_incoherent_ffl nr_neg_feed
1.488000000000000078e+01 1.305986217385160630e+00 1.090000000000000000e+02 7.100000000000000000e+01
1.435999999999999943e+01 1.323026832683298126e+00 1.330000000000000000e+02 8.000000000000000000e+01
1.498000000000000043e+01 1.392695228684294850e+00 9.700000000000000000e+01 6.000000000000000000e+01
1.453999999999999915e+01 1.186760295931743814e+00 1.160000000000000000e+02 8.000000000000000000e+01
1.491999999999999993e+01 1.368795090581493845e+00 1.320000000000000000e+02 8.800000000000000000e+01
1.459999999999999964e+01 1.199999999999999956e+00 1.320000000000000000e+02 8.600000000000000000e+01
1.435999999999999943e+01 1.127120224288429728e+00 1.290000000000000000e+02 6.400000000000000000e+01
1.393999999999999950e+01 1.206813987323647197e+00 9.700000000000000000e+01 5.000000000000000000e+01
1.343999999999999950e+01 1.080000000000000071e+00 9.800000000000000000e+01 5.700000000000000000e+01
1.498000000000000043e+01 1.406982586956924575e+00 1.330000000000000000e+02 7.900000000000000000e+01
1.506000000000000050e+01 1.287012043455693533e+00 1.350000000000000000e+02 8.900000000000000000e+01
1.482000000000000028e+01 1.532187978023584307e+00 1.200000000000000000e+02 5.800000000000000000e+01
1.411999999999999922e+01 1.620370328042327390e+00 1.030000000000000000e+02 5.600000000000000000e+01
1.467999999999999972e+01 1.434433686163288479e+00 1.120000000000000000e+02 7.200000000000000000e+01
1.411999999999999922e+01 1.032279032045115397e+00 1.250000000000000000e+02 7.200000000000000000e+01
1.456000000000000050e+01 1.098362417419678438e+00 1.320000000000000000e+02 8.600000000000000000e+01
1.424000000000000021e+01 1.225724275683565123e+00 1.010000000000000000e+02 7.700000000000000000e+01
1.440000000000000036e+01 1.200000000000000178e+00 1.260000000000000000e+02 8.600000000000000000e+01
1.491999999999999993e+01 1.397712416772491695e+00 1.320000000000000000e+02 8.700000000000000000e+01
1.456000000000000050e+01 1.498799519615615639e+00 1.210000000000000000e+02 7.100000000000000000e+01
1.424000000000000021e+01 1.030727898138010135e+00 1.190000000000000000e+02 6.000000000000000000e+01
1.514000000000000057e+01 1.371276777313755746e+00 1.270000000000000000e+02 8.600000000000000000e+01
1.451999999999999957e+01 1.359999999999999876e+00 1.360000000000000000e+02 7.800000000000000000e+01
1.385999999999999943e+01 1.233045011343868236e+00 1.150000000000000000e+02 7.700000000000000000e+01
1.416000000000000014e+01 1.065082156455547713e+00 1.430000000000000000e+02 7.100000000000000000e+01
1.359999999999999964e+01 1.296148139681571942e+00 1.080000000000000000e+02 7.600000000000000000e+01
1.466000000000000014e+01 1.727541605866556251e+00 1.070000000000000000e+02 7.200000000000000000e+01
1.453999999999999915e+01 1.203494910666430773e+00 9.500000000000000000e+01 7.600000000000000000e+01
1.430000000000000071e+01 1.220655561573370296e+00 1.360000000000000000e+02 5.100000000000000000e+01
1.498000000000000043e+01 1.303687079018581052e+00 1.190000000000000000e+02 7.000000000000000000e+01
1.514000000000000057e+01 1.280781011726829011e+00 1.430000000000000000e+02 8.200000000000000000e+01
1.330000000000000071e+01 9.433981132056604713e-01 1.060000000000000000e+02 6.600000000000000000e+01
1.417999999999999972e+01 1.177964345810177615e+00 1.210000000000000000e+02 6.700000000000000000e+01
1.446000000000000085e+01 1.252357776356261443e+00 1.390000000000000000e+02 5.400000000000000000e+01
1.451999999999999957e+01 1.062826420446913778e+00 1.360000000000000000e+02 8.400000000000000000e+01
1.464000000000000057e+01 1.053755189785559265e+00 1.240000000000000000e+02 7.900000000000000000e+01
1.480000000000000071e+01 1.264911064067351765e+00 1.400000000000000000e+02 8.200000000000000000e+01
1.374000000000000021e+01 1.110135126910233527e+00 9.800000000000000000e+01 5.200000000000000000e+01
1.474000000000000021e+01 1.439583273034248601e+00 1.240000000000000000e+02 8.200000000000000000e+01
1.503999999999999915e+01 1.611955334368790904e+00 1.330000000000000000e+02 7.800000000000000000e+01
1.382000000000000028e+01 1.177964345810177615e+00 1.220000000000000000e+02 6.600000000000000000e+01
1.477999999999999936e+01 1.459999999999999964e+00 1.340000000000000000e+02 8.400000000000000000e+01
1.396000000000000085e+01 1.076289923765896717e+00 1.280000000000000000e+02 4.300000000000000000e+01
1.461999999999999922e+01 1.324990566004150994e+00 1.360000000000000000e+02 8.000000000000000000e+01
1.469999999999999929e+01 1.284523257866512891e+00 1.210000000000000000e+02 7.000000000000000000e+01
1.433999999999999986e+01 1.274519517308385641e+00 1.390000000000000000e+02 8.100000000000000000e+01
1.440000000000000036e+01 1.166190378969060193e+00 8.700000000000000000e+01 7.000000000000000000e+01
1.451999999999999957e+01 1.299846144741753751e+00 1.290000000000000000e+02 7.900000000000000000e+01
1.464000000000000057e+01 1.245150593301870501e+00 1.350000000000000000e+02 7.400000000000000000e+01
1.440000000000000036e+01 1.183215956619923181e+00 1.230000000000000000e+02 6.500000000000000000e+01
1.453999999999999915e+01 1.219999999999999973e+00 9.600000000000000000e+01 7.300000000000000000e+01
1.458000000000000007e+01 1.250439922587246899e+00 1.090000000000000000e+02 6.800000000000000000e+01
1.448000000000000043e+01 1.639999999999999902e+00 1.290000000000000000e+02 8.100000000000000000e+01
1.417999999999999972e+01 1.244025723206718670e+00 1.230000000000000000e+02 7.400000000000000000e+01
1.393999999999999950e+01 1.027813212602367798e+00 1.100000000000000000e+02 4.900000000000000000e+01
1.398000000000000043e+01 1.288254633215033307e+00 8.300000000000000000e+01 4.200000000000000000e+01
1.350000000000000000e+01 1.187434208703791683e+00 1.090000000000000000e+02 7.200000000000000000e+01
1.350000000000000000e+01 1.118033988749894903e+00 9.400000000000000000e+01 5.700000000000000000e+01
1.417999999999999972e+01 1.366601624468520626e+00 1.180000000000000000e+02 6.500000000000000000e+01
1.414000000000000057e+01 1.469829922133850220e+00 1.120000000000000000e+02 7.900000000000000000e+01
1.453999999999999915e+01 1.169786305271180771e+00 1.270000000000000000e+02 8.700000000000000000e+01
1.456000000000000050e+01 1.344023809312915319e+00 1.330000000000000000e+02 8.500000000000000000e+01
1.461999999999999922e+01 1.521709564930180836e+00 1.400000000000000000e+02 5.400000000000000000e+01
1.482000000000000028e+01 1.409822683886168493e+00 1.170000000000000000e+02 5.700000000000000000e+01
1.425999999999999979e+01 1.293213052826176934e+00 1.120000000000000000e+02 6.500000000000000000e+01
1.459999999999999964e+01 1.077032961426900748e+00 1.020000000000000000e+02 7.300000000000000000e+01
1.427999999999999936e+01 1.414779134706191543e+00 1.030000000000000000e+02 5.500000000000000000e+01
1.466000000000000014e+01 1.226539848516956965e+00 1.180000000000000000e+02 6.900000000000000000e+01
1.377999999999999936e+01 1.136485811614029728e+00 1.010000000000000000e+02 7.600000000000000000e+01
1.438000000000000078e+01 1.111575458527220173e+00 9.700000000000000000e+01 7.500000000000000000e+01
1.311999999999999922e+01 1.193984924527943914e+00 1.150000000000000000e+02 6.900000000000000000e+01
1.464000000000000057e+01 9.951884243699782306e-01 1.160000000000000000e+02 7.600000000000000000e+01
1.488000000000000078e+01 1.727888885316414047e+00 1.380000000000000000e+02 8.100000000000000000e+01
1.461999999999999922e+01 1.129424632279639962e+00 1.240000000000000000e+02 8.400000000000000000e+01
