error_mean error_std
3.621863211359333534e-01 2.097248743469323426e-02
3.643020136182454349e-01 2.510951344949734557e-02
3.810361317220226085e-01 2.666746175964264040e-02
3.642312238401085867e-01 2.371152560255445838e-02
3.756883948178654231e-01 3.447209007022380284e-02
3.619308959779519164e-01 2.290358434772601579e-02
3.622331960424080566e-01 2.505025224441623927e-02
3.715963362241792578e-01 3.852385392004727821e-02
3.632181145455863347e-01 2.918989975632612852e-02
3.846128180373408756e-01 2.715786983911092078e-02
3.700478405348782696e-01 2.202195183634762798e-02
3.584902080020206938e-01 2.669083847176007343e-02
3.621177271890853588e-01 2.194047402256090254e-02
3.504637554538572175e-01 2.433051519697632809e-02
3.629267590454122172e-01 2.183313428801163247e-02
3.490606003007351021e-01 1.997095309995584531e-02
3.554670906481416370e-01 2.068093572015757692e-02
3.648083015501598081e-01 2.171429049765483815e-02
3.620070165663791806e-01 1.897520060084867746e-02
3.671211604377416782e-01 3.134429989331230515e-02
3.797340701881637415e-01 4.798279938629216451e-02
3.984807677187710562e-01 3.107965112724878423e-02
3.794640175200436061e-01 3.125773132330318671e-02
3.595543546182101702e-01 1.898335710281394070e-02
3.571321029791879043e-01 2.175041359330237914e-02
3.712637927900771517e-01 3.860924038008572978e-02
3.662742000669266806e-01 2.119992069496269213e-02
3.615305713351367745e-01 2.731407029931878783e-02
3.743548091536251787e-01 3.423752567914360029e-02
3.656908549784574358e-01 2.198116814745459946e-02
3.496195466607935898e-01 2.538871554704185546e-02
3.803839776524478578e-01 2.899454736199079743e-02
3.609760058377639025e-01 2.177097263044459885e-02
3.644280940850234685e-01 4.892507298322291975e-02
3.764431694117656435e-01 2.967343195134702905e-02
3.683314567069077006e-01 2.673416648563660750e-02
3.879017589960721546e-01 3.623594406601973739e-02
3.615378046152598057e-01 3.325282447372672479e-02
3.597948007415106009e-01 2.488324411221594368e-02
3.790129435280018555e-01 3.327312818593678584e-02
3.775229015995531512e-01 3.594437379621413797e-02
3.624409216115955235e-01 2.325638106531137395e-02
3.811795768337294388e-01 3.709663137179088771e-02
3.774380401699059528e-01 2.829537697381901903e-02
3.759762533048278677e-01 2.926132689454077548e-02
3.605950150258654952e-01 2.505990797544546331e-02
3.708068286526682300e-01 4.605926873400247035e-02
3.695890650558000257e-01 2.830617618543027764e-02
3.564540905180008101e-01 2.206162776047106144e-02
3.856800391599751743e-01 3.604274155400456758e-02
3.644022334653775896e-01 1.971040976389240584e-02
3.640502073986667253e-01 2.324750889994324499e-02
3.530262770499965064e-01 2.189727459292079709e-02
3.774725104379303975e-01 2.641441450824730600e-02
3.674320028464568288e-01 2.065146592652626970e-02
3.661403826465055023e-01 2.826506506550389985e-02
3.745184091254868397e-01 2.433489273645796092e-02
3.762436875201972675e-01 3.874363147705293942e-02
3.651615884055340877e-01 2.179059361831068090e-02
3.650199810486135510e-01 3.005130816719822281e-02
3.645280962689018689e-01 2.118485228508312779e-02
3.750518065431364678e-01 2.928358916490347505e-02
3.708808312411120967e-01 2.856556504204825486e-02
3.845617800856444557e-01 2.660238021768095151e-02
3.714695274035069161e-01 1.932813629100709613e-02
3.632052569853718715e-01 2.338532158101068112e-02
3.558678845944325264e-01 2.675918837978192785e-02
4.022597131731933673e-01 5.341828815485533816e-02
3.664361585259547360e-01 3.181415162379858108e-02
3.685986008115470502e-01 3.157447413734010971e-02
3.519380146302449885e-01 2.099276128481808099e-02
3.610082831447317120e-01 2.619784281851863031e-02
3.794339972609568901e-01 2.732271765331136318e-02
3.701447088144766417e-01 2.952221327031533463e-02
3.665513559453823511e-01 2.159000342356378471e-02
3.776457537335024539e-01 3.437347839646819059e-02
3.803113450022304609e-01 3.057323946648220561e-02
3.627227555306349882e-01 2.677036565891913883e-02
3.692095091837906962e-01 2.558394538618350908e-02
3.749986454926945156e-01 2.521448255730342550e-02
3.801911617249625341e-01 2.805920105587401958e-02
3.771530818292089249e-01 2.453969095725195768e-02
